15	-	8.518	+0.035	pass	discard	early sync via atomic total_pairs counter (CPU-bound optimization, benchmark is GPU-bound)
16	3c71299	7.321	-1.162	pass	keep	SPLAT-CENTRIC backward kernel — zero atomics, no tile binning dependency
17	64dfea0	6.566	-0.755	pass	keep	SPLAT-CENTRIC forward — eliminates entire tile binning pipeline
18	-	-	-	fail	discard	eliminate L_row_norms (empty tensor broke pipeline — needs API cleanup)
19	adc7ce5	6.316	-0.250	pass	keep	torch.compile cholesky_to_conic (fuse 12→1 kernel launches)
20	29ac9ad	5.578	-0.738	pass	keep	backward output_to_zero param — improved register allocation side effect
21	cdc1ffd	5.359	-0.219	pass	keep	wire output-zeroing API (disabled — awaiting buffer reuse)
22	54cad83	5.169	-0.190	pass	keep	tighten AABB margin +0.5 → +0.01 (30% fewer wasted voxels)
23	51ab77a	5.158	-0.011	pass	keep	output buffer reuse — eliminate output.zero_() (fwd -23.7%, bwd +30.8%, net -0.2%)
24	7e66fac	4.826	-0.332	pass	keep	analytical L→conic backward (replace autograd, -6.4% primary, -43% secondary)
25	afad0ae	4.829	+0.003	pass	keep	skip Ls.clone() for 2D/3D (code simplification, -0.012ms)
